Directgov searches,Business Link searches,Total monthly searches,When I search for...,Then I...,see...,in the top ... results
1950,,1950,child tax credit,should,https://www.gov.uk/child-tax-credit,3
1061,832,1893,holiday entitlement,should,https://www.gov.uk/calculate-your-holiday-entitlement,3
1061,832,1893,holiday entitlement,should,https://www.gov.uk/holiday-entitlement-your-rights,3
1874,,1874,maternity allowance,should,https://www.gov.uk/maternity-allowance,3
1874,,1874,maternity allowance,should,https://www.gov.uk/maternity-benefits,3
1800,,1800,community care grant,should,https://www.gov.uk/community-care-grant,3
991,763,1754,holiday pay,should,https://www.gov.uk/calculate-your-holiday-entitlement,3
991,763,1754,holiday pay,should,https://www.gov.uk/holiday-entitlement-your-rights,3
1740,,1740,maternity pay,should,https://www.gov.uk/maternity-benefits,3
1740,,1740,maternity pay,should,https://www.gov.uk/maternity-leave-pay-employees,5
1740,,1740,maternity pay,should,https://www.gov.uk/statutory-maternity-pay,3
1730,,1730,maternity leave,should,https://www.gov.uk/employee-rights-when-on-leave,5
1730,,1730,maternity leave,should,https://www.gov.uk/maternity,3
1730,,1730,maternity leave,should,https://www.gov.uk/maternity-leave,3
1730,,1730,maternity leave,should,https://www.gov.uk/maternity-leave-pay-employees,5
1730,,1730,maternity leave,should not,https://www.gov.uk/file-changes-to-a-company-with-companies-house,20
1730,,1730,maternity leave,should not,https://www.gov.uk/know-when-you-can-leave-school,20
1730,,1730,maternity leave,should not,https://www.gov.uk/leaving-prison/when-someone-can-leave-prison,20
1714,,1714,social fund,should,https://www.gov.uk/budgeting-loans,5
1714,,1714,social fund,should,https://www.gov.uk/crisis-loans,5
1693,,1693,disability living allowance,should,https://www.gov.uk/disability-living-allowance-dla-rates,3
1693,,1693,disability living allowance,should,https://www.gov.uk/dla-disability-living-allowance-benefit,3
1693,,1693,social fund,should,https://www.gov.uk/social-fund,3
1605,,1605,change address,should,https://www.gov.uk/change-address-driving-licence,5
1605,,1605,change address,should,https://www.gov.uk/change-name-address-on-vehicle-registration-certificate-v5c,5
1605,,1605,change address,should,https://www.gov.uk/tell-hmrc-about-a-change-of-name-or-address,5
1238,348,1586,self employment,should,https://www.gov.uk/become-self-employed,3
1238,348,1586,self employment,should,https://www.gov.uk/employment-status,10
1238,348,1586,self employment,should,https://www.gov.uk/register-for-self-assessment,5
1238,348,1586,self employment,should,https://www.gov.uk/self-employed-national-insurance-rates,10
1238,348,1586,self employment,should,https://www.gov.uk/set-up-sole-trader,3
1585,,1585,jobseekers,should,https://www.gov.uk/jobs-jobsearch,5
1585,,1585,jobseekers,should,https://www.gov.uk/jobseekers-allowance,3
1577,,1577,job seekers,should,https://www.gov.uk/jobs-jobsearch,5
1577,,1577,job seekers,should,https://www.gov.uk/jobseekers-allowance,3
1554,,1554,incapacity benefit,should,https://www.gov.uk/incapacity-benefit,3
1529,,1529,apprenticeships,should,https://www.gov.uk/apprenticeships,3
1483,,1483,state pension,should,https://www.gov.uk/state-pension,3
1481,,1481,forms,should,https://www.gov.uk/apply-for-tax-disc-refund-form-v14,5
1463,,1463,pff2,should,https://www.gov.uk/student-finance-evidence-given-by-parents-partners,3
1463,,1463,pff2,should,https://www.gov.uk/student-finance-register-login,3
1113,282,1395,smp,should,https://www.gov.uk/statutory-maternity-pay,
1113,282,1395,smp,should,https://www.gov.uk/maternity-leave-pay-employees,
1375,,1375,national insurance number,should,https://www.gov.uk/national-insurance,3
1361,,1361,loans,should,https://www.gov.uk/budgeting-loans,5
1361,,1361,loans,should,https://www.gov.uk/crisis-loans,5
1361,,1361,loans,should,https://www.gov.uk/apply-for-student-finance-2012-13,5
1323,,1323,child tax credits,should,https://www.gov.uk/child-tax-credit,3
1313,,1313,probate,should,https://www.gov.uk/inheritance-tax,10
1313,,1313,probate,should,https://www.gov.uk/valuing-estate-of-someone-who-died,5
1313,,1313,probate,should,https://www.gov.uk/wills-probate-inheritance,3
1313,,1313,probate,should not,https://www.gov.uk/guide-to-probation,10
1313,,1313,probate,should not,https://www.gov.uk/leaving-prison,10
1313,,1313,probate,should not,https://www.gov.uk/nominate-community-payback-project,10
1313,,1313,probate,should not,https://www.gov.uk/youth-offending-team,10
1309,,1309,d1,should,https://www.gov.uk/exchange-paper-driving-licence-photocard-licence,5
1309,,1309,d1,should,https://www.gov.uk/claiming-driving-test-pass,5
1299,,1299,pensions,should,https://www.gov.uk/state-pension,3
1290,,1290,practical test,should,https://www.gov.uk/book-practical-driving-test,3
1290,,1290,practical test,should,https://www.gov.uk/practical-driving-test-for-cars,5
1290,,1290,practical test,should not,https://www.gov.uk/dsa-practical-test-booking-service-data-protection,5
640,631,1271,vat,should,https://www.gov.uk/vat,3
640,631,1271,vat,should,https://www.gov.uk/vat-businesses,5
640,631,1271,vat,should,https://www.gov.uk/vat-rates,3
640,631,1271,vat,should,https://www.gov.uk/vat-registration,5
1268,,1268,crb,should,https://www.gov.uk/checks-on-job-applicants,3
1268,,1268,crb,should,https://www.gov.uk/crb-criminal-records-bureau-check,3
1268,,1268,driving,should,https://www.gov.uk/book-a-driving-theory-test,5
1268,,1268,driving,should,https://www.gov.uk/apply-first-provisional-driving-licence,5
1248,,1248,employment and support allowance,should,https://www.gov.uk/employment-support-allowance,3
1220,,1220,employment support allowance,should,https://www.gov.uk/employment-support-allowance,3
1208,,1208,v317,should,https://www.gov.uk/transferring-your-vehicle-registration-number-form-v317,3
1204,,1204,cleaner,should,https://www.gov.uk/jobs-jobsearch,3
1198,,1198,warehouse,should,https://www.gov.uk/jobs-jobsearch,3
1143,,1143,crisis loans,should,https://www.gov.uk/budgeting-loans,5
1143,,1143,crisis loans,should,https://www.gov.uk/crisis-loans,3
1142,,1142,log in,should,https://www.gov.uk/student-finance-register-login,3
1142,,1142,log in,should not,https://www.gov.uk/vehicle-registration-certificate-v5c-log-book,5
1124,,1124,pension,should,https://www.gov.uk/state-pension,3
1122,,1122,benefits adviser,should,https://www.gov.uk/benefits-adviser,1
1096,,1096,housing,should,https://www.gov.uk/council-housing,5
1096,,1096,housing,should,https://www.gov.uk/housing-benefit,5
1096,,1096,housing,should not,https://www.gov.uk/file-an-annual-return-with-companies-house,10
