Directgov searches,Business Link searches,Total monthly searches,When I search for...,Then I...,see...,in the top ... results
,,0,police,should,https://www.gov.uk/report-crime-anti-social-behaviour,5
,,0,pot hole,should,https://www.gov.uk/report-pothole,3
,,0,pothole,should,https://www.gov.uk/report-pothole,3
,,0,pr1,should,https://www.gov.uk/apply-for-student-finance-2011-12,3
,,0,pr1,should,https://www.gov.uk/apply-for-student-finance-2012-13,3
,,0,pr1,should,https://www.gov.uk/student-finance-register-login,3
,,0,practical driving test,should,https://www.gov.uk/book-practical-driving-test,3
,,0,practical driving test,should,https://www.gov.uk/practical-driving-test-for-cars,5
,,0,practical driving test,should not,https://www.gov.uk/dsa-practical-test-booking-service-data-protection,5
,,0,probate forms,should,https://www.gov.uk/wills-probate-inheritance,3
,,0,probate forms,should not,https://www.gov.uk/apply-for-tax-disc-refund-form-v14,5
,,0,probate forms,should not,https://www.gov.uk/register-sorn-statutory-off-road-notification,5
,,0,probate forms,should not,https://www.gov.uk/register-to-vote,5
,,0,provisional drivers licence,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
,,0,provisional drivers license,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
,,0,provisional driving licence,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
,,0,provisional driving license,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
,,0,provisional licence,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
,,0,provisional license,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
,,0,recycling,should,https://www.gov.uk/recycling-collections,3
,,0,redundancy calculator,should,https://www.gov.uk/calculate-redundancy-pay,3
,,0,redundancy notice,should,https://www.gov.uk/redundant-your-rights,5
,,0,redundancy pay,should,https://www.gov.uk/calculate-redundancy-pay,5
,,0,redundancy payment,should,https://www.gov.uk/redundant-your-rights,5
,,0,redundancy payments,should,https://www.gov.uk/redundant-your-rights,5
,,0,redundancy rights,should,https://www.gov.uk/redundant-your-rights,3
,,0,retail,should,https://www.gov.uk/jobs-jobsearch,3
,,0,right to buy,should,https://www.gov.uk/find-out-about-right-to-buy-from-your-council,3
,,0,self assessment,should,https://www.gov.uk/file-your-self-assessment-tax-return,5
,,0,self assessment,should,https://www.gov.uk/how-to-send-self-assessment-online,5
,,0,self assessment,should,https://www.gov.uk/self-assessment-tax-returns,3
,,0,sick,should,https://www.gov.uk/sick-leave-pay-employees,5
,,0,sick,should,https://www.gov.uk/statutory-sick-pay-ssp,3
,,0,sick leave,should,https://www.gov.uk/sick-leave-pay-employees,5
,,0,sick leave,should,https://www.gov.uk/statutory-sick-pay-ssp,3
,,0,sick pay entitlement,should,https://www.gov.uk/sick-leave-pay-employees,5
,,0,sick pay entitlement,should,https://www.gov.uk/statutory-sick-pay-ssp,3
,,0,sickness,should,https://www.gov.uk/sick-leave-pay-employees,5
,,0,sickness,should,https://www.gov.uk/statutory-sick-pay-ssp,3
,,0,sickness benefit,should,https://www.gov.uk/sick-leave-pay-employees,5
,,0,sickness benefit,should,https://www.gov.uk/statutory-sick-pay-ssp,3
,,0,stamp duty,should,https://www.gov.uk/buy-sell-your-home,5
,,0,stamp duty,should,https://www.gov.uk/stamp-duty-land-tax-rates,3
,,0,start a business,should,https://www.gov.uk/starting-a-business,5
,,0,statutory redundancy pay,should,https://www.gov.uk/calculate-redundancy-pay,5
,,0,statutory sick pay,should,https://www.gov.uk/sick-leave-pay-employees,5
,,0,statutory sick pay,should,https://www.gov.uk/statutory-sick-pay-ssp,3
,,0,street light,should,https://www.gov.uk/report-problem-street-light,3
,,0,streetlight,should,https://www.gov.uk/report-problem-street-light,3
,,0,student,should,https://www.gov.uk/apply-for-student-finance-2012-13,3
,,0,student,should,https://www.gov.uk/student-finance-calculator,3
,,0,student,should,https://www.gov.uk/student-finance-register-login,3
,,0,student finance address,should,https://www.gov.uk/contact-student-finance-england,3
,,0,student finance contact details,should,https://www.gov.uk/contact-student-finance-england,3
,,0,student finance contact number,should,https://www.gov.uk/contact-student-finance-england,3
,,0,student finance england,should,https://www.gov.uk/contact-student-finance-england,3
,,0,student finance england address,should,https://www.gov.uk/contact-student-finance-england,3
,,0,student finance england contact number,should,https://www.gov.uk/contact-student-finance-england,3
,,0,student finance england number,should,https://www.gov.uk/contact-student-finance-england,3
,,0,student finance england phone number,should,https://www.gov.uk/contact-student-finance-england,3
,,0,student finance forms,should,https://www.gov.uk/apply-for-student-finance-2012-13,3
,,0,student finance helpline,should,https://www.gov.uk/contact-student-finance-england,3
,,0,student finance login,should,https://www.gov.uk/student-finance-register-login,3
,,0,student finance telephone number,should,https://www.gov.uk/contact-student-finance-england,3
,,0,student grants,should,https://www.gov.uk/apply-for-student-finance-2012-13,3
,,0,student grants,should,https://www.gov.uk/extra-money-pay-university,5
,,0,student loan,should,https://www.gov.uk/apply-for-student-finance-2012-13,3
,,0,student loans,should,https://www.gov.uk/apply-for-student-finance-2012-13,3
,,0,student loans company,should,https://www.gov.uk/apply-for-student-finance-2011-12,3
,,0,student loans company,should,https://www.gov.uk/apply-for-student-finance-2012-13,3
,,0,tariff classification,should,https://www.gov.uk/finding-commodity-codes,3
,,0,tariff classification,should,https://www.gov.uk/trade-tariff,3
,,0,tariff codes,should,https://www.gov.uk/finding-commodity-codes,3
,,0,tariff codes,should,https://www.gov.uk/trade-tariff,3
,,0,tax credit,should,https://www.gov.uk/benefits-adviser,5
,,0,tax credit,should,https://www.gov.uk/claim-tax-credits,3
,,0,trade mark,should,https://www.gov.uk/intellectual-property-an-overview,5
,,0,trade mark,should,https://www.gov.uk/register-a-trademark,5
,,0,trade mark,should,https://www.gov.uk/search-for-trademark,5
,,0,trade tariff,should,https://www.gov.uk/finding-commodity-codes,3
,,0,trade tariff,should,https://www.gov.uk/trade-tariff,3
,,0,trademark,should,https://www.gov.uk/intellectual-property-an-overview,5
,,0,trademark,should,https://www.gov.uk/register-a-trademark,5
,,0,trademark,should,https://www.gov.uk/search-for-trademark,5
,,0,travel,should,https://www.gov.uk/plan-your-journey,5
,,0,vacancies,should,https://www.gov.uk/jobs-jobsearch,3
,,0,vehicle check,should,https://www.gov.uk/apply-for-a-vehicle-identity-check-vic,3
,,0,vehicle check,should,https://www.gov.uk/vehicle-identity-check,3
,,0,vehicle check,should not,https://www.gov.uk/checks-on-job-applicants,10
,,0,vehicle enquiry,should,https://www.gov.uk/vehicle-identity-check,3
,,0,vehicle tax,should,https://www.gov.uk/car-tax-disc-vehicle-licence,2
,,0,visa,should,https://www.gov.uk/check-an-employees-right-to-work-documents,5
,,0,visa,should,https://www.gov.uk/uk-visa,3
,,0,visa,should,https://www.gov.uk/uk-visa-sponsorship-employers,5
,,0,visa,should not,https://www.gov.uk/apply-first-provisional-driving-licence,5
,,0,visa,should not,https://www.gov.uk/change-photo-driving-licence,5
,,0,visa,should not,https://www.gov.uk/exchange-paper-driving-licence-photocard-licence,5
,,0,voluntary redundancy,should,https://www.gov.uk/redundant-your-rights,5
,,0,warm front,should,https://www.gov.uk/warm-front-scheme,3
,,0,what council tax band am i,should,https://www.gov.uk/council-tax-bands,3
,,0,what is the statutory level of sick pay,should,https://www.gov.uk/sick-leave-pay-employees,5
,,0,what is the statutory level of sick pay,should,https://www.gov.uk/statutory-sick-pay-ssp,3
,,0,when does child benefit stop,should,https://www.gov.uk/when-child-benefit-stops,3
,,0,when is my mot due,should,https://www.gov.uk/check-mot-status-vehicle,3
,,0,when is my mot due,should,https://www.gov.uk/getting-an-mot,3
,,0,winter fuel,should,https://www.gov.uk/cold-weather-payment,5
,,0,winter fuel,should,https://www.gov.uk/warm-front-scheme,5
,,0,winter fuel,should,https://www.gov.uk/winter-fuel-payment,3
,,0,winter fuel allowance,should,https://www.gov.uk/cold-weather-payment,5
,,0,winter fuel allowance,should,https://www.gov.uk/warm-front-scheme,5
,,0,winter fuel allowance,should,https://www.gov.uk/winter-fuel-payment,3
,,0,winter fuel payment,should,https://www.gov.uk/cold-weather-payment,5
,,0,winter fuel payment,should,https://www.gov.uk/warm-front-scheme,5
,,0,winter fuel payment,should,https://www.gov.uk/winter-fuel-payment,3
,,0,work related activity group,should,https://www.gov.uk/employment-support-allowance,3
,,0,working abroad,should,https://www.gov.uk/working-abroad,3
,,0,working from home,should,https://www.gov.uk/flexible-working,3
,,0,working from home,should,https://www.gov.uk/introduction-to-business-rates,5
,,0,working from home,should,https://www.gov.uk/travel-disruption-your-rights-at-work,5
,,0,working overseas,should,https://www.gov.uk/working-abroad,3
